ID;Seção;Ordem;Pergunta;Tipo no Forms;Obrigatória;Opções / escala;Limite / instrução;Lógica de navegação;Texto de apoio;Objetivo de pesquisa;Tag de análise;Status
Q12;Experiência ideal;12;Que formatos fariam você ter mais vontade de participar?;Caixas de seleção;Sim;Escolher entre opções rápidas|Tentar adivinhar a resposta da outra pessoa|Responder em segredo e revelar depois|Contar uma história ou lembrança|Encontrar escolhas em comum|Cumprir um desafio curto|Fazer um pequeno gesto;Escolher até 3 opções;;;Priorizar mecânicas desejadas;formato;Proposta para aprovação
Q13;Experiência ideal;13;Quanto tempo seria ideal para uma experiência em um dia comum?;Escolha única;Sim;Até 3 minutos|De 4 a 5 minutos|De 6 a 10 minutos|De 11 a 15 minutos|Mais de 15 minutos;Escolha uma opção;;;Definir duração prometida;duração;Proposta para aprovação
Q14;Experiência ideal;14;Em qual momento seria mais natural usar o aplicativo?;Escolha única;Sim;Durante o dia, à distância|No fim do dia|Durante uma refeição ou café|Em um encontro|No fim de semana|Quando surgir vontade, sem horário fixo|Outro;Escolha a principal opção;;;Identificar ocasião de uso;ocasião;Proposta para aprovação
Q15;Experiência ideal;15;Como vocês prefeririam participar?;Escolha única;Sim;Cada pessoa no próprio celular|Os dois no mesmo celular|Começar no celular e continuar conversando sem tela|Somente conversando, com o celular como guia|Depende da atividade;Escolha uma opção;;;Definir configuração de participação;modo;Proposta para aprovação
Q16;Experiência ideal;16;Como as perguntas deveriam evoluir?;Escolha única;Sim;Sempre leves e divertidas|Começar leves e aprofundar aos poucos|Escolher a profundidade antes de começar|Misturar níveis de forma surpresa|Depende do momento;Escolha uma opção;;;Definir progressão de profundidade;profundidade;Proposta para aprovação
Q17;Conteúdo e cuidado;17;Sobre quais temas você teria mais curiosidade de conversar de um jeito leve?;Caixas de seleção;Sim;Gostos e preferências|Nossa história|Rotina e tempo de qualidade|Carinho e formas de demonstrar amor|Sonhos e planos|Viagens e experiências|Família e filhos|Valores e visão de mundo|Dinheiro e prioridades|Intimidade e desejo|Outro;Escolher até 3 opções;;;Priorizar temas de conteúdo;tema;Proposta para aprovação
Q18;Conteúdo e cuidado;18;Quais temas só deveriam aparecer quando as duas pessoas escolhessem participar?;Caixas de seleção;Sim;Dinheiro|Família e filhos|Conflitos e pedidos de desculpa|Religião ou espiritualidade|Corpo, desejo e sexo|Saúde emocional|Planos de longo prazo|Nenhum desses|Outro;Marcar todas as aplicáveis. Nenhum desses deve ser exclusivo com outra opção;;;Mapear necessidades de consentimento bilateral;segurança;Proposta para aprovação
Q19;Teste rápido de conceito;19;Qual destas experiências você teria mais vontade de testar primeiro?;Escolha única;Sim;Descoberta relâmpago — os dois respondem e revelam juntos|Adivinha de mim — uma pessoa tenta prever a resposta da outra|Nossa história — cada pessoa conta sua versão de uma lembrança|Match de planos — o app revela apenas escolhas em comum|Pequeno gesto — uma descoberta vira uma ação carinhosa;Escolha uma opção;;;Priorizar proposta de experiência;conceito;Proposta para aprovação
Q20;Teste rápido de conceito;20;O que deveria acontecer no final para a experiência valer a pena?;Escolha única;Sim;Descobrir algo novo|Dar risada|Continuar conversando sem o celular|Escolher um plano para fazer juntos|Receber uma sugestão personalizada|Trocar um gesto de carinho|Outro;Escolha a principal opção;;;Definir desfecho de valor;resultado;Proposta para aprovação
Q21;Teste rápido de conceito;21;De 0 a 10, qual é a chance real de você convidar sua pessoa parceira para usar uma experiência assim toda semana?;Escolha única;Sim;0 — nenhuma chance|1|2|3|4|5|6|7|8|9|10 — com certeza;Escolha uma opção;Não tratar isoladamente como validação estatística;;Medir intenção declarada e comparar justificativas;intenção;Proposta para aprovação
Q22;Teste rápido de conceito;22;Qual é o principal motivo da sua nota?;Resposta curta;Sim;;Responder em uma frase;;;Explicar intenção e revelar condição de adoção;intenção;Proposta para aprovação
Q23;Fechamento;23;Que pergunta você gostaria de ver sua pessoa parceira responder no aplicativo?;Resposta longa;Sim;;Escrever uma pergunta. Não inclua algo que exponha terceiros;;;Gerar insumos de conteúdo na voz do público;conteúdo;Proposta para aprovação
Q24;Fechamento;24;O que faria você abandonar ou apagar o aplicativo?;Resposta curta;Não;;Responder em uma frase;;;Identificar limite crítico e risco de rejeição;risco;Proposta para aprovação
